cost,timestamp,symbol,datetime,type,amount,price
347.79819,1710608831571,DOGE/USDT,2024-03-16T17:07:11.571Z,limit,2279.0,0.15261
498.07575,1710608833681,DOGE/USDT,2024-03-16T17:07:13.681Z,limit,3265.0,0.15255
198.17544,1710608835239,DOGE/USDT,2024-03-16T17:07:15.239Z,limit,1299.0,0.15256
893.08624,1710608836803,DOGE/USDT,2024-03-16T17:07:16.803Z,limit,5854.0,0.15256
3.049,1710608843070,DOGE/USDT,2024-03-16T17:07:23.070Z,limit,20.0,0.15245
988.22958,1710608851064,DOGE/USDT,2024-03-16T17:07:31.064Z,limit,6487.0,0.15234
8.22204,1710608853163,DOGE/USDT,2024-03-16T17:07:33.163Z,limit,54.0,0.15226
702.07995,1710608863199,DOGE/USDT,2024-03-16T17:07:43.199Z,limit,4615.0,0.15213
0.15204,1710608863296,DOGE/USDT,2024-03-16T17:07:43.296Z,limit,1.0,0.15204
0.15204,1710608863343,DOGE/USDT,2024-03-16T17:07:43.343Z,limit,1.0,0.15204
0.15204,1710608863397,DOGE/USDT,2024-03-16T17:07:43.397Z,limit,1.0,0.15204
0.15204,1710608863441,DOGE/USDT,2024-03-16T17:07:43.441Z,limit,1.0,0.15204
0.15204,1710608863487,DOGE/USDT,2024-03-16T17:07:43.487Z,limit,1.0,0.15204
0.15204,1710608863543,DOGE/USDT,2024-03-16T17:07:43.543Z,limit,1.0,0.15204
825.97899,1710608864224,DOGE/USDT,2024-03-16T17:07:44.224Z,limit,5433.0,0.15203
969.64734,1710608865771,DOGE/USDT,2024-03-16T17:07:45.771Z,limit,6378.0,0.15203
466.7014,1710608873727,DOGE/USDT,2024-03-16T17:07:53.727Z,limit,3070.0,0.15202
876.45295,1710608878449,DOGE/USDT,2024-03-16T17:07:58.449Z,limit,5765.0,0.15203
440.27888,1710608878974,DOGE/USDT,2024-03-16T17:07:58.974Z,limit,2896.0,0.15203
