price,timestamp,cost,amount,symbol,datetime,type
0.13415,1710823189890,5441.669772642565,73.0,DOGE/USD:DOGE,2024-03-19T04:39:49.890Z,
0.13414,1710823189906,2832.8611898016998,38.0,DOGE/USD:DOGE,2024-03-19T04:39:49.906Z,
0.13412,1710823192231,9469.132120489114,127.0,DOGE/USD:DOGE,2024-03-19T04:39:52.231Z,
0.13411,1710823192275,6188.949369920215,83.0,DOGE/USD:DOGE,2024-03-19T04:39:52.275Z,
0.13411,1710823194662,36015.2113936321,483.0,DOGE/USD:DOGE,2024-03-19T04:39:54.662Z,
0.13412,1710823194669,74.56009543692215,1.0,DOGE/USD:DOGE,2024-03-19T04:39:54.669Z,
0.13414,1710823194709,27657.671089906067,371.0,DOGE/USD:DOGE,2024-03-19T04:39:54.709Z,
0.13416,1710823194999,8944.54382826476,120.0,DOGE/USD:DOGE,2024-03-19T04:39:54.999Z,
0.1342,1710823195417,12593.144560357676,169.0,DOGE/USD:DOGE,2024-03-19T04:39:55.417Z,
0.13421,1710823195438,298.040384472096,4.0,DOGE/USD:DOGE,2024-03-19T04:39:55.438Z,
0.13422,1710823196645,223.51363433169422,3.0,DOGE/USD:DOGE,2024-03-19T04:39:56.645Z,
0.13423,1710823197548,8269.388363257096,111.0,DOGE/USD:DOGE,2024-03-19T04:39:57.548Z,
0.13422,1710823197549,7375.9499329459095,99.0,DOGE/USD:DOGE,2024-03-19T04:39:57.549Z,
0.13422,1710823198381,2905.677246312025,39.0,DOGE/USD:DOGE,2024-03-19T04:39:58.381Z,
0.13424,1710823198383,32926.10250297974,442.0,DOGE/USD:DOGE,2024-03-19T04:39:58.383Z,
0.13425,1710823199744,2234.63687150838,30.0,DOGE/USD:DOGE,2024-03-19T04:39:59.744Z,
0.13424,1710823200023,297.97377830750895,4.0,DOGE/USD:DOGE,2024-03-19T04:40:00.023Z,
0.13423,1710823200028,18922.74454294867,254.0,DOGE/USD:DOGE,2024-03-19T04:40:00.028Z,
0.13422,1710823200905,19520.19073163463,262.0,DOGE/USD:DOGE,2024-03-19T04:40:00.905Z,
0.1342,1710823201675,9985.096870342772,134.0,DOGE/USD:DOGE,2024-03-19T04:40:01.675Z,
0.13421,1710823202218,2309.8129796587436,31.0,DOGE/USD:DOGE,2024-03-19T04:40:02.218Z,
0.13421,1710823202432,5737.2774010878475,77.0,DOGE/USD:DOGE,2024-03-19T04:40:02.432Z,
0.13423,1710823202437,77329.95604559338,1038.0,DOGE/USD:DOGE,2024-03-19T04:40:02.437Z,
0.13424,1710823202451,7374.851013110846,99.0,DOGE/USD:DOGE,2024-03-19T04:40:02.451Z,
0.13421,1710823203736,23172.63989270546,311.0,DOGE/USD:DOGE,2024-03-19T04:40:03.736Z,
0.1342,1710823203738,745.156482861401,10.0,DOGE/USD:DOGE,2024-03-19T04:40:03.738Z,
0.13419,1710823203738,26902.153662717043,361.0,DOGE/USD:DOGE,2024-03-19T04:40:03.738Z,
0.13418,1710823203755,5887.613653301535,79.0,DOGE/USD:DOGE,2024-03-19T04:40:03.755Z,
0.13415,1710823204110,3876.257920238539,52.0,DOGE/USD:DOGE,2024-03-19T04:40:04.110Z,
0.13414,1710823204131,1267.3326375428658,17.0,DOGE/USD:DOGE,2024-03-19T04:40:04.131Z,
0.13414,1710823204775,1192.7836588638736,16.0,DOGE/USD:DOGE,2024-03-19T04:40:04.775Z,
0.13413,1710823205165,14612.689182136734,196.0,DOGE/USD:DOGE,2024-03-19T04:40:05.165Z,
0.13413,1710823206431,2460.299709237307,33.0,DOGE/USD:DOGE,2024-03-19T04:40:06.431Z,
0.13414,1710823206433,820.0387654689131,11.0,DOGE/USD:DOGE,2024-03-19T04:40:06.433Z,
0.13415,1710823206434,52404.02534476332,703.0,DOGE/USD:DOGE,2024-03-19T04:40:06.434Z,
0.13417,1710823206480,31601.699336662445,424.0,DOGE/USD:DOGE,2024-03-19T04:40:06.480Z,
0.13422,1710823207196,2235.136343316942,30.0,DOGE/USD:DOGE,2024-03-19T04:40:07.196Z,
0.13423,1710823207492,1489.979885271549,20.0,DOGE/USD:DOGE,2024-03-19T04:40:07.492Z,
0.13424,1710823208395,5661.50178784267,76.0,DOGE/USD:DOGE,2024-03-19T04:40:08.395Z,
0.13425,1710823208405,53854.74860335195,723.0,DOGE/USD:DOGE,2024-03-19T04:40:08.405Z,
0.13426,1710823208407,40071.50305377626,538.0,DOGE/USD:DOGE,2024-03-19T04:40:08.407Z,
0.13427,1710823208513,2979.072019066061,40.0,DOGE/USD:DOGE,2024-03-19T04:40:08.513Z,
0.13428,1710823208557,15266.60708966339,205.0,DOGE/USD:DOGE,2024-03-19T04:40:08.557Z,
