price,amount,datetime,cost,type,symbol,timestamp
0.14879,1.0,2024-03-21T05:07:06.368Z,0.14879,limit,DOGE/USDT,1710997626368
0.14879,1.0,2024-03-21T05:07:06.436Z,0.14879,limit,DOGE/USDT,1710997626436
0.14879,1.0,2024-03-21T05:07:06.487Z,0.14879,limit,DOGE/USDT,1710997626487
0.14879,1.0,2024-03-21T05:07:06.543Z,0.14879,limit,DOGE/USDT,1710997626543
0.1486,3.0,2024-03-21T05:07:09.254Z,0.4458,limit,DOGE/USDT,1710997629254
0.14867,9709.0,2024-03-21T05:07:16.068Z,1443.43703,limit,DOGE/USDT,1710997636068
0.14874,597.0,2024-03-21T05:07:18.136Z,88.79778,limit,DOGE/USDT,1710997638136
0.14873,6417.0,2024-03-21T05:07:20.782Z,954.40041,limit,DOGE/USDT,1710997640782
0.14873,3702.0,2024-03-21T05:07:21.344Z,550.59846,limit,DOGE/USDT,1710997641344
0.14873,8108.0,2024-03-21T05:07:22.399Z,1205.90284,limit,DOGE/USDT,1710997642399
0.14873,8436.0,2024-03-21T05:07:23.966Z,1254.68628,limit,DOGE/USDT,1710997643966
0.14882,8728.0,2024-03-21T05:07:28.716Z,1298.90096,limit,DOGE/USDT,1710997648716
0.14883,5654.0,2024-03-21T05:07:29.245Z,841.48482,limit,DOGE/USDT,1710997649245
0.14882,953.0,2024-03-21T05:07:43.415Z,141.82546,limit,DOGE/USDT,1710997663415
0.14874,4009.0,2024-03-21T05:08:03.382Z,596.29866,limit,DOGE/USDT,1710997683382
0.14879,10048.0,2024-03-21T05:08:06.075Z,1495.04192,limit,DOGE/USDT,1710997686075
0.14866,7396.0,2024-03-21T05:08:11.358Z,1099.48936,limit,DOGE/USDT,1710997691358
0.14865,4818.0,2024-03-21T05:08:19.468Z,716.1957,limit,DOGE/USDT,1710997699468
0.14859,7686.0,2024-03-21T05:08:20.538Z,1142.06274,limit,DOGE/USDT,1710997700538
0.14857,1306.0,2024-03-21T05:08:24.269Z,194.03242,limit,DOGE/USDT,1710997704269
0.14864,9281.0,2024-03-21T05:08:31.090Z,1379.52784,limit,DOGE/USDT,1710997711090
0.14863,6924.0,2024-03-21T05:08:31.631Z,1029.11412,limit,DOGE/USDT,1710997711631
0.14863,2590.0,2024-03-21T05:08:32.144Z,384.9517,limit,DOGE/USDT,1710997712144
