type,symbol,cost,amount,datetime,timestamp,price
,DOGE/USDT,1.934640625,12.3817,2024-03-22T01:20:30.571Z,1711070430571,0.15625
,DOGE/USDT,1.934640625,12.3817,2024-03-22T01:20:30.604Z,1711070430604,0.15625
,DOGE/USDT,1.934640625,12.3817,2024-03-22T01:20:30.627Z,1711070430627,0.15625
,DOGE/USDT,1.934640625,12.3817,2024-03-22T01:20:30.653Z,1711070430653,0.15625
,DOGE/USDT,1.934640625,12.3817,2024-03-22T01:20:30.675Z,1711070430675,0.15625
,DOGE/USDT,1.934640625,12.3817,2024-03-22T01:20:30.703Z,1711070430703,0.15625
,DOGE/USDT,1.934516808,12.3817,2024-03-22T01:20:30.729Z,1711070430729,0.15624
,DOGE/USDT,10.015467286,64.1113,2024-03-22T01:20:30.731Z,1711070430731,0.15622
,DOGE/USDT,1.934269174,12.3817,2024-03-22T01:20:30.753Z,1711070430753,0.15622
,DOGE/USDT,1.934269174,12.3817,2024-03-22T01:20:30.779Z,1711070430779,0.15622
,DOGE/USDT,1.934269174,12.3817,2024-03-22T01:20:30.801Z,1711070430801,0.15622
,DOGE/USDT,1.934145357,12.3817,2024-03-22T01:20:30.829Z,1711070430829,0.15621
,DOGE/USDT,1.934145357,12.3817,2024-03-22T01:20:30.855Z,1711070430855,0.15621
,DOGE/USDT,1.93402154,12.3817,2024-03-22T01:20:30.879Z,1711070430879,0.1562
,DOGE/USDT,1.93402154,12.3817,2024-03-22T01:20:30.903Z,1711070430903,0.1562
,DOGE/USDT,1.93402154,12.3817,2024-03-22T01:20:30.931Z,1711070430931,0.1562
,DOGE/USDT,1.93402154,12.3817,2024-03-22T01:20:30.959Z,1711070430959,0.1562
,DOGE/USDT,1.933897723,12.3817,2024-03-22T01:20:30.985Z,1711070430985,0.15619
,DOGE/USDT,10.12346258,64.8109,2024-03-22T01:20:34.441Z,1711070434441,0.1562
,DOGE/USDT,10.118277708,64.8109,2024-03-22T01:20:38.280Z,1711070438280,0.15612
,DOGE/USDT,436.981810259,2800.9859,2024-03-22T01:20:45.459Z,1711070445459,0.15601
,DOGE/USDT,10.109204182,64.8109,2024-03-22T01:20:47.771Z,1711070447771,0.15598
,DOGE/USDT,10.111148509,64.8109,2024-03-22T01:20:49.113Z,1711070449113,0.15601
,DOGE/USDT,58.923678429,377.4981,2024-03-22T01:21:00.317Z,1711070460317,0.15609
,DOGE/USDT,312.18,2000.0,2024-03-22T01:21:01.615Z,1711070461615,0.15609
,DOGE/USDT,66.690826092,427.2588,2024-03-22T01:21:01.616Z,1711070461616,0.15609
,DOGE/USDT,10.11698149,64.8109,2024-03-22T01:21:05.145Z,1711070465145,0.1561
,DOGE/USDT,144.877673904,927.9892,2024-03-22T01:21:11.528Z,1711070471528,0.15612
,DOGE/USDT,10.122150744,64.8108,2024-03-22T01:21:12.592Z,1711070472592,0.15618
,DOGE/USDT,46.857,300.0,2024-03-22T01:21:12.708Z,1711070472708,0.15619
,DOGE/USDT,937.5,6000.0,2024-03-22T01:21:13.169Z,1711070473169,0.15625
,DOGE/USDT,1.5626e-05,0.0001,2024-03-22T01:21:13.169Z,1711070473169,0.15626
,DOGE/USDT,827.869808402,5298.0277,2024-03-22T01:21:13.169Z,1711070473169,0.15626
,DOGE/USDT,937.74,6000.0,2024-03-22T01:21:13.169Z,1711070473169,0.15629
,DOGE/USDT,16.735861604,107.0684,2024-03-22T01:21:13.975Z,1711070473975,0.15631
