type,cost,datetime,timestamp,symbol,price,amount
,496.161434,2024-03-22T22:10:13.000Z,1711145413000,DOGE/USDT,0.15007,3306.2
,726.4989834,2024-03-22T22:10:13.000Z,1711145413000,DOGE/USDT,0.15006,4841.39
,1224.6381594,2024-03-22T22:10:15.000Z,1711145415000,DOGE/USDT,0.15006,8160.99
,5437.7332236,2024-03-22T22:10:15.000Z,1711145415000,DOGE/USDT,0.15006,36237.06
,7.713,2024-03-22T22:10:27.000Z,1711145427000,DOGE/USDT,0.15,51.42
,75.3024795,2024-03-22T22:10:28.000Z,1711145428000,DOGE/USDT,0.14999,502.05
,11.935682,2024-03-22T22:10:40.000Z,1711145440000,DOGE/USDT,0.15004,79.55
,11.9348865,2024-03-22T22:10:40.000Z,1711145440000,DOGE/USDT,0.15003,79.55
,46.916872,2024-03-22T22:10:41.000Z,1711145441000,DOGE/USDT,0.14999,312.8
,45.281981,2024-03-22T22:10:41.000Z,1711145441000,DOGE/USDT,0.14999,301.9
,615.738,2024-03-22T22:10:43.000Z,1711145443000,DOGE/USDT,0.15,4104.92
,8081.551194,2024-03-22T22:10:43.000Z,1711145443000,DOGE/USDT,0.14999,53880.6
,498.42,2024-03-22T22:10:43.000Z,1711145443000,DOGE/USDT,0.15,3322.8
,1138.0836227,2024-03-22T22:10:43.000Z,1711145443000,DOGE/USDT,0.14999,7587.73
,213.65696,2024-03-22T22:11:08.000Z,1711145468000,DOGE/USDT,0.15004,1424.0
,31.0802148,2024-03-22T22:11:08.000Z,1711145468000,DOGE/USDT,0.15003,207.16
,76.0357708,2024-03-22T22:11:08.000Z,1711145468000,DOGE/USDT,0.15004,506.77
,254.8000122,2024-03-22T22:11:10.000Z,1711145470000,DOGE/USDT,0.14999,1698.78
,182.5813271,2024-03-22T22:11:10.000Z,1711145470000,DOGE/USDT,0.14999,1217.29
,50.0025,2024-03-22T22:11:10.000Z,1711145470000,DOGE/USDT,0.15,333.35
,10.442518,2024-03-22T22:11:36.000Z,1711145496000,DOGE/USDT,0.14995,69.64
,8.6766856,2024-03-22T22:12:01.000Z,1711145521000,DOGE/USDT,0.14996,57.86
,1823.17318,2024-03-22T22:12:20.000Z,1711145540000,DOGE/USDT,0.15034,12127.0
