amount,datetime,type,symbol,price,cost,timestamp
3902.0,2024-03-16T23:53:07.639Z,limit,DOGE/USDT,0.14248,555.95696,1710633187639
17956.0,2024-03-16T23:53:08.717Z,limit,DOGE/USDT,0.14248,2558.37088,1710633188717
2123.0,2024-03-16T23:53:11.331Z,limit,DOGE/USDT,0.14247,302.46381,1710633191331
13041.0,2024-03-16T23:53:21.960Z,limit,DOGE/USDT,0.1425,1858.3425,1710633201960
10616.0,2024-03-16T23:53:40.442Z,limit,DOGE/USDT,0.14255,1513.3108,1710633220442
11858.0,2024-03-16T23:53:44.162Z,limit,DOGE/USDT,0.14258,1690.71364,1710633224162
7347.0,2024-03-16T23:53:47.776Z,limit,DOGE/USDT,0.14252,1047.09444,1710633227776
14225.0,2024-03-16T23:53:51.474Z,limit,DOGE/USDT,0.1425,2027.0625,1710633231474
9942.0,2024-03-16T23:54:06.750Z,limit,DOGE/USDT,0.14241,1415.84022,1710633246750
7437.0,2024-03-16T23:54:20.408Z,limit,DOGE/USDT,0.14204,1056.35148,1710633260408
18038.0,2024-03-16T23:54:21.438Z,limit,DOGE/USDT,0.14204,2562.11752,1710633261438
16538.0,2024-03-16T23:54:28.306Z,limit,DOGE/USDT,0.14204,2349.05752,1710633268306
10487.0,2024-03-16T23:54:33.634Z,limit,DOGE/USDT,0.14193,1488.41991,1710633273634
21044.0,2024-03-16T23:54:46.334Z,limit,DOGE/USDT,0.14189,2985.93316,1710633286334
20436.0,2024-03-16T23:54:57.819Z,limit,DOGE/USDT,0.14194,2900.68584,1710633297819
7740.0,2024-03-16T23:54:59.063Z,limit,DOGE/USDT,0.14193,1098.5382,1710633299063
12140.0,2024-03-16T23:54:59.908Z,limit,DOGE/USDT,0.14193,1723.0302,1710633299908
2.0,2024-03-16T23:55:04.265Z,limit,DOGE/USDT,0.14181,0.28362,1710633304265
23213.0,2024-03-16T23:55:05.728Z,limit,DOGE/USDT,0.14181,3291.83553,1710633305728
12253.0,2024-03-16T23:55:08.410Z,limit,DOGE/USDT,0.14175,1736.86275,1710633308410
11274.0,2024-03-16T23:55:18.953Z,limit,DOGE/USDT,0.14197,1600.56978,1710633318953
6734.0,2024-03-16T23:55:31.632Z,limit,DOGE/USDT,0.14187,955.35258,1710633331632
10988.0,2024-03-16T23:55:32.746Z,limit,DOGE/USDT,0.14189,1559.08732,1710633332746
14978.0,2024-03-16T23:55:38.485Z,limit,DOGE/USDT,0.14187,2124.92886,1710633338485
24970.0,2024-03-16T23:55:45.836Z,limit,DOGE/USDT,0.14193,3543.9921,1710633345836
16250.0,2024-03-16T23:55:47.942Z,limit,DOGE/USDT,0.14192,2306.2,1710633347942
1510.0,2024-03-16T23:55:59.007Z,limit,DOGE/USDT,0.14204,214.4804,1710633359007
5801.0,2024-03-16T23:56:02.191Z,limit,DOGE/USDT,0.14193,823.33593,1710633362191
4599.0,2024-03-16T23:56:08.964Z,limit,DOGE/USDT,0.14195,652.82805,1710633368964
13080.0,2024-03-16T23:56:12.157Z,limit,DOGE/USDT,0.14199,1857.2292,1710633372157
14093.0,2024-03-16T23:56:39.527Z,limit,DOGE/USDT,0.14227,2005.01111,1710633399527
17644.0,2024-03-16T23:56:44.835Z,limit,DOGE/USDT,0.14227,2510.21188,1710633404835
17083.0,2024-03-16T23:56:48.533Z,limit,DOGE/USDT,0.14227,2430.39841,1710633408533
11708.0,2024-03-16T23:56:51.672Z,limit,DOGE/USDT,0.14234,1666.51672,1710633411672
3744.0,2024-03-16T23:56:54.327Z,limit,DOGE/USDT,0.14235,532.9584,1710633414327
16767.0,2024-03-16T23:56:54.900Z,limit,DOGE/USDT,0.14234,2386.61478,1710633414900
13882.0,2024-03-16T23:56:56.481Z,limit,DOGE/USDT,0.14234,1975.96388,1710633416481
250.0,2024-03-16T23:57:26.466Z,market,DOGE/USDT,0.14242,35.605,1710633446466
14643.0,2024-03-16T23:57:36.248Z,limit,DOGE/USDT,0.14243,2085.60249,1710633456248
4051.0,2024-03-16T23:57:42.231Z,limit,DOGE/USDT,0.14254,577.42954,1710633462231
16410.0,2024-03-16T23:57:50.535Z,limit,DOGE/USDT,0.14248,2338.0968,1710633470535
12971.0,2024-03-16T23:58:20.237Z,limit,DOGE/USDT,0.14265,1850.31315,1710633500237
7524.0,2024-03-16T23:58:25.459Z,limit,DOGE/USDT,0.14259,1072.84716,1710633505459
14159.0,2024-03-16T23:58:34.886Z,limit,DOGE/USDT,0.14265,2019.78135,1710633514886
8861.0,2024-03-16T23:58:38.589Z,limit,DOGE/USDT,0.14266,1264.11026,1710633518589
3140.0,2024-03-16T23:58:44.892Z,limit,DOGE/USDT,0.14266,447.9524,1710633524892
9000.0,2024-03-16T23:58:46.534Z,limit,DOGE/USDT,0.14265,1283.85,1710633526534
1955.0,2024-03-16T23:58:48.158Z,limit,DOGE/USDT,0.14266,278.9003,1710633528158
10669.0,2024-03-16T23:58:53.904Z,limit,DOGE/USDT,0.14266,1522.03954,1710633533904
6824.0,2024-03-16T23:58:54.411Z,limit,DOGE/USDT,0.14266,973.51184,1710633534411
14582.0,2024-03-16T23:58:54.934Z,limit,DOGE/USDT,0.14266,2080.26812,1710633534934
5324.0,2024-03-16T23:58:56.002Z,limit,DOGE/USDT,0.14266,759.52184,1710633536002
8480.0,2024-03-16T23:58:59.657Z,limit,DOGE/USDT,0.14259,1209.1632,1710633539657
10740.0,2024-03-16T23:59:00.741Z,limit,DOGE/USDT,0.14258,1531.3092,1710633540741
2.0,2024-03-16T23:59:01.661Z,limit,DOGE/USDT,0.14266,0.28532,1710633541661
6395.0,2024-03-16T23:59:02.294Z,limit,DOGE/USDT,0.14274,912.8223,1710633542294
17869.0,2024-03-16T23:59:03.342Z,limit,DOGE/USDT,0.14274,2550.62106,1710633543342
10987.0,2024-03-16T23:59:17.575Z,limit,DOGE/USDT,0.14267,1567.51529,1710633557575
16016.0,2024-03-16T23:59:21.740Z,limit,DOGE/USDT,0.14267,2285.00272,1710633561740
12727.0,2024-03-16T23:59:25.957Z,limit,DOGE/USDT,0.14259,1814.74293,1710633565957
3999.0,2024-03-16T23:59:33.321Z,limit,DOGE/USDT,0.14254,570.01746,1710633573321
2858.0,2024-03-16T23:59:41.205Z,limit,DOGE/USDT,0.14254,407.37932,1710633581205
7019.0,2024-03-16T23:59:52.334Z,limit,DOGE/USDT,0.14254,1000.48826,1710633592334
15450.0,2024-03-17T00:00:08.715Z,limit,DOGE/USDT,0.14246,2201.007,1710633608715
7904.0,2024-03-17T00:00:11.346Z,limit,DOGE/USDT,0.14257,1126.87328,1710633611346
2.0,2024-03-17T00:00:19.159Z,limit,DOGE/USDT,0.14295,0.2859,1710633619159
3496.0,2024-03-17T00:00:21.573Z,limit,DOGE/USDT,0.143,499.928,1710633621573
6.0,2024-03-17T00:00:21.602Z,limit,DOGE/USDT,0.143,0.858,1710633621602
2.0,2024-03-17T00:00:33.369Z,limit,DOGE/USDT,0.14332,0.28664,1710633633369
1.0,2024-03-17T00:00:37.259Z,limit,DOGE/USDT,0.1435,0.1435,1710633637259
4.0,2024-03-17T00:00:45.523Z,limit,DOGE/USDT,0.14357,0.57428,1710633645523
11179.0,2024-03-17T00:00:55.269Z,limit,DOGE/USDT,0.14377,1607.20483,1710633655269
2.0,2024-03-17T00:00:56.228Z,limit,DOGE/USDT,0.14377,0.28754,1710633656228
9236.0,2024-03-17T00:01:02.217Z,limit,DOGE/USDT,0.14391,1329.15276,1710633662217
24611.0,2024-03-17T00:01:18.488Z,limit,DOGE/USDT,0.1439,3541.5229,1710633678488
9648.0,2024-03-17T00:01:28.453Z,limit,DOGE/USDT,0.14346,1384.10208,1710633688453
