price,amount,datetime,type,cost,symbol,timestamp
0.15465,55.0,2024-03-21T22:12:54.409Z,,3556.417717426447,DOGE/USD:DOGE,1711059174409
0.15465,71.0,2024-03-21T22:12:54.523Z,,4591.011962495959,DOGE/USD:DOGE,1711059174523
0.15463,16.0,2024-03-21T22:12:54.523Z,,1034.7280605315916,DOGE/USD:DOGE,1711059174523
0.15462,687.0,2024-03-21T22:12:54.523Z,,44431.50950717889,DOGE/USD:DOGE,1711059174523
0.15461,434.0,2024-03-21T22:12:54.523Z,,28070.629325399394,DOGE/USD:DOGE,1711059174523
0.1546,114.0,2024-03-21T22:12:54.523Z,,7373.868046571798,DOGE/USD:DOGE,1711059174523
0.15459,505.0,2024-03-21T22:12:54.523Z,,32667.054790089915,DOGE/USD:DOGE,1711059174523
0.15458,354.0,2024-03-21T22:12:54.524Z,,22900.763358778626,DOGE/USD:DOGE,1711059174524
0.15464,33.0,2024-03-21T22:12:58.372Z,,2133.988618727367,DOGE/USD:DOGE,1711059178372
0.15465,38.0,2024-03-21T22:12:58.374Z,,2457.1613320400907,DOGE/USD:DOGE,1711059178374
0.15466,93.0,2024-03-21T22:12:58.374Z,,6013.19022371654,DOGE/USD:DOGE,1711059178374
0.15466,3.0,2024-03-21T22:12:59.406Z,,193.9738781844045,DOGE/USD:DOGE,1711059179406
0.15464,31.0,2024-03-21T22:13:00.101Z,,2004.6559751681325,DOGE/USD:DOGE,1711059180101
0.15466,26.0,2024-03-21T22:13:00.553Z,,1681.106944264839,DOGE/USD:DOGE,1711059180553
0.15467,2.0,2024-03-21T22:13:00.564Z,,129.30755802676666,DOGE/USD:DOGE,1711059180564
0.15468,35.0,2024-03-21T22:13:00.570Z,,2262.7359710369797,DOGE/USD:DOGE,1711059180570
0.15464,235.0,2024-03-21T22:13:02.291Z,,15196.585618210036,DOGE/USD:DOGE,1711059182291
0.15463,696.0,2024-03-21T22:13:02.292Z,,45010.67063312423,DOGE/USD:DOGE,1711059182292
0.15462,11.0,2024-03-21T22:13:02.294Z,,711.4215496054844,DOGE/USD:DOGE,1711059182294
0.15461,264.0,2024-03-21T22:13:02.294Z,,17075.22152512774,DOGE/USD:DOGE,1711059182294
0.1546,1.0,2024-03-21T22:13:02.532Z,,64.68305304010349,DOGE/USD:DOGE,1711059182532
0.15459,1.0,2024-03-21T22:13:02.685Z,,64.68723720809884,DOGE/USD:DOGE,1711059182685
0.15458,20.0,2024-03-21T22:13:02.685Z,,1293.828438349075,DOGE/USD:DOGE,1711059182685
0.15458,13.0,2024-03-21T22:13:04.975Z,,840.9884849268986,DOGE/USD:DOGE,1711059184975
0.15458,39.0,2024-03-21T22:13:10.541Z,,2522.9654547806963,DOGE/USD:DOGE,1711059190541
0.15458,52.0,2024-03-21T22:13:10.874Z,,3363.9539397075946,DOGE/USD:DOGE,1711059190874
0.15457,48.0,2024-03-21T22:13:10.874Z,,3105.389144077117,DOGE/USD:DOGE,1711059190874
0.15457,349.0,2024-03-21T22:13:17.754Z,,22578.766901727373,DOGE/USD:DOGE,1711059197754
0.15457,244.0,2024-03-21T22:13:18.534Z,,15785.72814905868,DOGE/USD:DOGE,1711059198534
0.15458,549.0,2024-03-21T22:13:18.535Z,,35515.590632682106,DOGE/USD:DOGE,1711059198535
0.15459,218.0,2024-03-21T22:13:18.535Z,,14101.817711365547,DOGE/USD:DOGE,1711059198535
0.1546,11.0,2024-03-21T22:13:18.537Z,,711.5135834411384,DOGE/USD:DOGE,1711059198537
0.15461,1026.0,2024-03-21T22:13:18.538Z,,66360.52001811008,DOGE/USD:DOGE,1711059198538
0.15462,1190.0,2024-03-21T22:13:18.541Z,,76962.87673004786,DOGE/USD:DOGE,1711059198541
0.15463,223.0,2024-03-21T22:13:18.555Z,,14421.522343659057,DOGE/USD:DOGE,1711059198555
0.15464,2.0,2024-03-21T22:13:18.635Z,,129.33264355923436,DOGE/USD:DOGE,1711059198635
0.15465,2.0,2024-03-21T22:13:20.143Z,,129.32428063368897,DOGE/USD:DOGE,1711059200143
0.15466,54.0,2024-03-21T22:13:20.143Z,,3491.529807319281,DOGE/USD:DOGE,1711059200143
0.15467,54.0,2024-03-21T22:13:20.143Z,,3491.3040667227,DOGE/USD:DOGE,1711059200143
0.15468,8.0,2024-03-21T22:13:20.144Z,,517.196793379881,DOGE/USD:DOGE,1711059200144
0.15469,141.0,2024-03-21T22:13:20.144Z,,9115.004201952292,DOGE/USD:DOGE,1711059200144
0.1547,30.0,2024-03-21T22:13:20.145Z,,1939.2372333548803,DOGE/USD:DOGE,1711059200145
0.15471,168.0,2024-03-21T22:13:20.145Z,,10859.026565832848,DOGE/USD:DOGE,1711059200145
0.15472,46.0,2024-03-21T22:13:20.145Z,,2973.11271975181,DOGE/USD:DOGE,1711059200145
0.15473,72.0,2024-03-21T22:13:20.147Z,,4653.266981193046,DOGE/USD:DOGE,1711059200147
0.15472,18.0,2024-03-21T22:13:20.160Z,,1163.3919338159255,DOGE/USD:DOGE,1711059200160
0.15474,2.0,2024-03-21T22:13:20.186Z,,129.24906294429366,DOGE/USD:DOGE,1711059200186
0.15475,31.0,2024-03-21T22:13:20.229Z,,2003.2310177705976,DOGE/USD:DOGE,1711059200229
0.15476,52.0,2024-03-21T22:13:20.234Z,,3360.0413543551304,DOGE/USD:DOGE,1711059200234
0.15476,63.0,2024-03-21T22:13:20.876Z,,4070.8193331610237,DOGE/USD:DOGE,1711059200876
0.15477,2.0,2024-03-21T22:13:22.489Z,,129.22400982102474,DOGE/USD:DOGE,1711059202489
0.15478,16.0,2024-03-21T22:13:22.489Z,,1033.7252875048455,DOGE/USD:DOGE,1711059202489
0.15479,11.0,2024-03-21T22:13:22.489Z,,710.6402222365786,DOGE/USD:DOGE,1711059202489
0.1548,63.0,2024-03-21T22:13:22.489Z,,4069.767441860465,DOGE/USD:DOGE,1711059202489
