type,cost,timestamp,amount,price,symbol,datetime
,1151.40149,1710827306096,8799.4,0.13085,DOGE/USDT,2024-03-19T05:48:26.096Z
,108.833796,1710827307071,831.3,0.13092,DOGE/USDT,2024-03-19T05:48:27.071Z
,364.738095,1710827309581,2781.5,0.13113,DOGE/USDT,2024-03-19T05:48:29.581Z
,590.924232,1710827309601,4506.4,0.13113,DOGE/USDT,2024-03-19T05:48:29.601Z
,1739.714823,1710827309643,13267.1,0.13113,DOGE/USDT,2024-03-19T05:48:29.643Z
,178.323687,1710827310066,1359.9,0.13113,DOGE/USDT,2024-03-19T05:48:30.066Z
,53.678856,1710827310568,409.2,0.13118,DOGE/USDT,2024-03-19T05:48:30.568Z
,56.153317,1710827311076,427.9,0.13123,DOGE/USDT,2024-03-19T05:48:31.076Z
,694.311264,1710827311095,5291.2,0.13122,DOGE/USDT,2024-03-19T05:48:31.095Z
,562.45875,1710827311568,4285.4,0.13125,DOGE/USDT,2024-03-19T05:48:31.568Z
,389.746875,1710827311581,2969.5,0.13125,DOGE/USDT,2024-03-19T05:48:31.581Z
,344.308133,1710827315066,2624.9,0.13117,DOGE/USDT,2024-03-19T05:48:35.066Z
,12.997956,1710827315076,99.1,0.13116,DOGE/USDT,2024-03-19T05:48:35.076Z
,208.550716,1710827315581,1589.2,0.13123,DOGE/USDT,2024-03-19T05:48:35.581Z
,240.242761,1710827315601,1830.7,0.13123,DOGE/USDT,2024-03-19T05:48:35.601Z
,299.274052,1710827319066,2281.4,0.13118,DOGE/USDT,2024-03-19T05:48:39.066Z
,467.381222,1710827319100,3562.9,0.13118,DOGE/USDT,2024-03-19T05:48:39.100Z
,161.272692,1710827320067,1229.4,0.13118,DOGE/USDT,2024-03-19T05:48:40.067Z
,538.074124,1710827320106,4101.8,0.13118,DOGE/USDT,2024-03-19T05:48:40.106Z
,222.638696,1710827320106,1697.2,0.13118,DOGE/USDT,2024-03-19T05:48:40.106Z
,163.77823,1710827320153,1248.5,0.13118,DOGE/USDT,2024-03-19T05:48:40.153Z
,161.534247,1710827320603,1231.3,0.13119,DOGE/USDT,2024-03-19T05:48:40.603Z
,729.027636,1710827322077,5561.7,0.13108,DOGE/USDT,2024-03-19T05:48:42.077Z
,237.807318,1710827322576,1813.8,0.13111,DOGE/USDT,2024-03-19T05:48:42.576Z
,775.450368,1710827324066,5913.6,0.13113,DOGE/USDT,2024-03-19T05:48:44.066Z
,248.556915,1710827324076,1895.5,0.13113,DOGE/USDT,2024-03-19T05:48:44.076Z
,158.234571,1710827324086,1206.7,0.13113,DOGE/USDT,2024-03-19T05:48:44.086Z
,83.215932,1710827325067,634.8,0.13109,DOGE/USDT,2024-03-19T05:48:45.067Z
,348.791163,1710827325076,2660.7,0.13109,DOGE/USDT,2024-03-19T05:48:45.076Z
,15.579432,1710827325467,118.8,0.13114,DOGE/USDT,2024-03-19T05:48:45.467Z
,152.660074,1710827325600,1164.1,0.13114,DOGE/USDT,2024-03-19T05:48:45.600Z
,376.057064,1710827325645,2867.6,0.13114,DOGE/USDT,2024-03-19T05:48:45.645Z
,4.996815,1710827325670,38.1,0.13115,DOGE/USDT,2024-03-19T05:48:45.670Z
