cost,timestamp,datetime,price,amount,type,symbol
40.134,1710824464655,2024-03-19T05:01:04.655Z,0.13378,300.0,,DOGE/USD
226.074375,1710824558138,2024-03-19T05:02:38.138Z,0.13397,1687.5,,DOGE/USD
3125.040625,1710824558138,2024-03-19T05:02:38.138Z,0.13405,23312.5,,DOGE/USD
10.00000002793,1710824712588,2024-03-19T05:05:12.588Z,0.13409,74.576777,,DOGE/USD
11.92508064982,1710824739923,2024-03-19T05:05:39.923Z,0.13429,88.800958,,DOGE/USD
4.7954224342,1710824741858,2024-03-19T05:05:41.858Z,0.1343,35.706794,,DOGE/USD
59.530026073,1710825095787,2024-03-19T05:11:35.787Z,0.133,447.594181,,DOGE/USD
560.1048152,1710825137936,2024-03-19T05:12:17.936Z,0.133,4211.3144,,DOGE/USD
380.3651572,1710825137937,2024-03-19T05:12:17.937Z,0.133,2859.8884,,DOGE/USD
1.463e-06,1710825137937,2024-03-19T05:12:17.937Z,0.133,1.1e-05,,DOGE/USD
11.809631691,1710825137937,2024-03-19T05:12:17.937Z,0.13299,88.8009,,DOGE/USD
7.71342e-06,1710825137937,2024-03-19T05:12:17.937Z,0.13299,5.8e-05,,DOGE/USD
195.93569429028,1710825150109,2024-03-19T05:12:30.109Z,0.13314,1471.651602,,DOGE/USD
4.745777497,1710825191728,2024-03-19T05:13:11.728Z,0.13291,35.7067,,DOGE/USD
1.249354e-05,1710825191728,2024-03-19T05:13:11.728Z,0.13291,9.4e-05,,DOGE/USD
42.37922963365,1710825279506,2024-03-19T05:14:39.506Z,0.13273,319.289005,,DOGE/USD
4.99136294692,1710825475912,2024-03-19T05:17:55.912Z,0.13391,37.274012,,DOGE/USD
35.11103541813,1710825536678,2024-03-19T05:18:56.678Z,0.13363,262.748151,,DOGE/USD
2.99593330864,1710825554022,2024-03-19T05:19:14.022Z,0.13358,22.428008,,DOGE/USD
2.99393818688,1710825564639,2024-03-19T05:19:24.639Z,0.13352,22.423144,,DOGE/USD
9.9356586015,1710825565138,2024-03-19T05:19:25.138Z,0.1335,74.424409,,DOGE/USD
21.52393698528,1710825566185,2024-03-19T05:19:26.185Z,0.13344,161.300487,,DOGE/USD
96.58254736252,1710825726564,2024-03-19T05:22:06.564Z,0.13331,724.495892,,DOGE/USD
145.6896647549,1710825815287,2024-03-19T05:23:35.287Z,0.1337,1089.675877,,DOGE/USD
16.194338875,1710825936999,2024-03-19T05:25:36.999Z,0.13325,121.5335,,DOGE/USD
11.91203604,1710825939335,2024-03-19T05:25:39.335Z,0.1332,89.4297,,DOGE/USD
4.662e-06,1710825939335,2024-03-19T05:25:39.335Z,0.1332,3.5e-05,,DOGE/USD
11.93812248,1710825940529,2024-03-19T05:25:40.529Z,0.13315,89.6592,,DOGE/USD
6.25805e-06,1710825941599,2024-03-19T05:25:41.599Z,0.13315,4.7e-05,,DOGE/USD
11.56236278112,1710825965497,2024-03-19T05:26:05.497Z,0.13284,87.039768,,DOGE/USD
93.037,1710825985218,2024-03-19T05:26:25.218Z,0.13291,700.0,,DOGE/USD
40.04042728582,1710826015365,2024-03-19T05:26:55.365Z,0.13319,300.626378,,DOGE/USD
72.864,1710826101386,2024-03-19T05:28:21.386Z,0.13248,550.0,,DOGE/USD
89.7333,1710826103839,2024-03-19T05:28:23.839Z,0.13235,678.0,,DOGE/USD
0.00903407865,1710826104076,2024-03-19T05:28:24.076Z,0.13235,0.068259,,DOGE/USD
89.71026428078,1710826104497,2024-03-19T05:28:24.497Z,0.13234,677.877167,,DOGE/USD
11.809631808,1710826105955,2024-03-19T05:28:25.955Z,0.13221,89.3248,,DOGE/USD
7.66818e-06,1710826105978,2024-03-19T05:28:25.978Z,0.13221,5.8e-05,,DOGE/USD
