date,open,high,low,close,volume
1712510400000,2.87731e-05,2.87731e-05,2.875e-05,2.875e-05,20000.0
1712510460000,2.87486e-05,2.87486e-05,2.87486e-05,2.87486e-05,10000.0
1712510520000,2.87256e-05,2.87256e-05,2.87256e-05,2.87256e-05,20000.0
1712510580000,2.87341e-05,2.87341e-05,2.87324e-05,2.87324e-05,20000.0
1712510640000,2.87099e-05,2.87129e-05,2.87099e-05,2.87129e-05,20000.0
1712510700000,2.87149e-05,2.87149e-05,2.87149e-05,2.87149e-05,20000.0
1712510760000,2.87158e-05,2.87158e-05,2.87018e-05,2.87018e-05,20000.0
1712510820000,2.86757e-05,2.86757e-05,2.86757e-05,2.86757e-05,10000.0
1712510880000,2.86789e-05,2.86829e-05,2.86789e-05,2.86829e-05,20000.0
1712510940000,2.8664e-05,2.8664e-05,2.86519e-05,2.86519e-05,20000.0
1712511000000,2.86663e-05,2.86773e-05,2.86663e-05,2.86773e-05,20000.0
1712511060000,2.86756e-05,2.86756e-05,2.86756e-05,2.86756e-05,10000.0
1712511120000,2.86776e-05,2.86776e-05,2.86235e-05,2.86235e-05,20000.0
1712511180000,2.86197e-05,2.86197e-05,2.86165e-05,2.86165e-05,20000.0
1712511240000,2.86283e-05,2.8638e-05,2.86283e-05,2.8638e-05,30000.0
1712511300000,2.86427e-05,2.86427e-05,2.86427e-05,2.86427e-05,10000.0
1712511360000,2.86399e-05,2.86399e-05,2.86128e-05,2.86142e-05,30000.0
1712511420000,2.86142e-05,2.86142e-05,2.86142e-05,2.86142e-05,10000.0
1712511480000,2.86302e-05,2.8631e-05,2.86161e-05,2.86161e-05,30000.0
1712511540000,2.86106e-05,2.86106e-05,2.86106e-05,2.86106e-05,10000.0
1712511600000,2.85833e-05,2.85838e-05,2.85833e-05,2.85838e-05,20000.0
1712511660000,2.85652e-05,2.85652e-05,2.85652e-05,2.85652e-05,10000.0
1712511720000,2.85645e-05,2.85649e-05,2.85643e-05,2.85649e-05,30000.0
1712511780000,2.85446e-05,2.85446e-05,2.85446e-05,2.85446e-05,10000.0
1712511840000,2.85328e-05,2.85328e-05,2.85319e-05,2.85319e-05,20000.0
1712511900000,2.85557e-05,2.85637e-05,2.85453e-05,2.85453e-05,30000.0
1712511960000,2.85494e-05,2.85494e-05,2.85289e-05,2.85289e-05,20000.0
1712512020000,2.85507e-05,2.85741e-05,2.85507e-05,2.85741e-05,20000.0
1712512080000,2.8588e-05,2.8588e-05,2.8588e-05,2.8588e-05,10000.0
1712512140000,2.859e-05,2.859e-05,2.85624e-05,2.85624e-05,20000.0
1712512200000,2.85672e-05,2.85672e-05,2.85474e-05,2.85474e-05,20000.0
1712512260000,2.85636e-05,2.85636e-05,2.85594e-05,2.85594e-05,20000.0
1712512320000,2.85544e-05,2.85544e-05,2.85317e-05,2.85317e-05,20000.0
1712512380000,2.85435e-05,2.85435e-05,2.85348e-05,2.85348e-05,20000.0
1712512440000,2.85286e-05,2.85286e-05,2.85286e-05,2.85286e-05,10000.0
1712512500000,2.84952e-05,2.84966e-05,2.84952e-05,2.84966e-05,20000.0
1712512560000,2.84737e-05,2.84737e-05,2.84737e-05,2.84737e-05,10000.0
1712512620000,2.84773e-05,2.84962e-05,2.84773e-05,2.84962e-05,20000.0
1712512680000,2.85165e-05,2.85175e-05,2.85165e-05,2.85175e-05,20000.0
