buy_exchange,sell_exchange,volume,profit,fund_remaintime
gemini,okx,44407837.0,8.471240724000381,10008.471240724,2.045985460281372
gemini,okx,44407837.0,8.277761799998189,10016.749002523999,3.058988094329834
gemini,okx,44407837.0,8.387893617000373,10025.136896140999,4.073999643325806
gemini,okx,44407837.0,8.387893617000373,10033.524789758,5.090989828109741
gemini,okx,44407837.0,8.295306379999602,10041.820096137999,6.0989885330200195
gemini,okx,44407837.0,8.293624596999507,10050.113720734998,7.109980821609497
gemini,okx,44407837.0,8.269161799998983,10058.382882534997,8.111002683639526
gemini,okx,44407837.0,8.185746924000341,10066.568629458998,9.12598466873169
gemini,okx,44407837.0,8.028945893000127,10074.597575351998,10.137003183364868
gemini,okx,44407837.0,8.048027034999905,10082.645602386998,11.151057243347168
gemini,okx,44407837.0,8.048027034998086,10090.693629421996,12.16099238395691
gemini,okx,44407837.0,8.028579120998984,10098.722208542995,13.174972772598267
gemini,okx,44407837.0,8.037818496999535,10106.760027039994,14.186018228530884
gemini,okx,44407837.0,8.0355969609991,10114.795624000993,15.202067613601685
gemini,okx,44407837.0,8.044196961000125,10122.839820961994,16.206008672714233
gemini,okx,44407837.0,8.097510312998565,10130.937331274992,17.221020698547363
gemini,okx,44407837.0,8.097510313000384,10139.034841587993,18.23403310775757
gemini,okx,44407837.0,8.284089242999471,10147.318930830992,19.24806022644043
gemini,okx,44407837.0,8.184097993998876,10155.50302882499,20.26297616958618
gemini,okx,44407837.0,8.296457681999527,10163.79948650699,21.28098225593567
gemini,okx,44407837.0,8.296457681999527,10172.09594418899,22.30499243736267
gemini,okx,44407837.0,8.205786587999683,10180.30173077699,23.30998468399048
gemini,okx,44407837.0,8.312865518999388,10188.614596295989,24.31997513771057
gemini,okx,44407837.0,8.3173215049992,10196.931917800988,25.33199143409729
gemini,okx,44407837.0,9.040960463000374,10205.972878263989,26.347970962524414
gemini,okx,44407837.0,9.382511744001022,10215.35539000799,27.35797357559204
gemini,okx,44407837.0,9.382511744001022,10224.73790175199,28.3719801902771
gemini,okx,44407837.0,9.628692791999129,10234.36659454399,29.38898229598999
gemini,okx,44407837.0,9.315982996000457,10243.68257753999,30.402969360351562
gemini,okx,44407837.0,9.371283659000255,10253.05386119899,31.41299057006836
gemini,okx,44407837.0,9.359115980001661,10262.412977178992,32.43099355697632
gemini,okx,44407837.0,8.75056876599956,10271.163545944992,33.448992013931274
gemini,okx,44407837.0,8.75056876599956,10279.914114710991,34.46250653266907
gemini,okx,44407837.0,8.918048878000263,10288.832163588992,35.480971813201904
gemini,okx,44407837.0,8.822790640000676,10297.654954228992,36.49099254608154
gemini,okx,44407837.0,8.82457143800093,10306.479525666993,37.50398635864258
gemini,okx,44407837.0,8.792751725999551,10315.272277392993,38.520986557006836
gemini,okx,44407837.0,8.792751725999551,10324.065029118992,39.53604698181152
gemini,okx,44407837.0,8.77033822300109,10332.835367341993,40.552985191345215
gemini,okx,129178763.0,23.57100427399928,10356.406371615993,41.56298041343689
gemini,okx,129178763.0,23.981593106998844,10380.387964722991,42.57497596740723
gemini,okx,129178763.0,23.736234748999777,10404.124199471991,43.596067905426025
gemini,okx,44407837.0,8.606836925999232,10412.73103639799,44.59804630279541
gemini,okx,44407837.0,8.661753091999344,10421.39278948999,45.60996460914612
gemini,okx,44407837.0,8.661753091999344,10430.05454258199,46.63198781013489
gemini,okx,44407837.0,8.52146532900042,10438.57600791099,47.639984130859375
gemini,okx,44407837.0,8.589278087998537,10447.165285998988,48.6499764919281
gemini,okx,129178763.0,23.63877222500014,10470.804058223988,49.6649649143219
gemini,okx,44407837.0,8.585407267999472,10479.389465491988,50.66997671127319
gemini,okx,44407837.0,8.58540726800129,10487.974872759989,51.68302631378174
gemini,okx,129178763.0,23.837661503001073,10511.81253426299,52.69397735595703
gemini,okx,129178763.0,23.746838650999052,10535.55937291399,53.70596408843994
gemini,okx,44407837.0,8.782093678999445,10544.341466592989,54.72213625907898
gemini,okx,129178763.0,24.279623118000018,10568.621089710989,55.734169483184814
gemini,okx,129178763.0,24.279623118000018,10592.900712828989,56.74498105049133
gemini,okx,129178763.0,23.752247926000564,10616.65296075499,57.75098180770874
gemini,okx,44407837.0,8.726310198999272,10625.379270953988,58.76116156578064
gemini,okx,44407837.0,8.700556750000032,10634.079827703988,59.77599620819092
gemini,okx,44407837.0,8.669418475999919,10642.749246179988,60.788976192474365
gemini,okx,44407837.0,8.600383323999267,10651.349629503988,61.79797291755676
gemini,okx,44407837.0,8.600383323999267,10659.950012827987,62.81196355819702
gemini,okx,44407837.0,8.348036371999115,10668.298049199986,63.819985151290894
gemini,okx,44407837.0,8.4819050110018,10676.779954210988,64.83398509025574
gemini,okx,44407837.0,8.502432119001242,10685.28238632999,65.84698343276978
gemini,okx,44407837.0,8.467466165000587,10693.74985249499,66.85896825790405
gemini,okx,44407837.0,8.467466165000587,10702.21731865999,67.87297773361206
gemini,okx,44407837.0,8.279241594000268,10710.49656025399,68.88699841499329
gemini,okx,44407837.0,8.341184235001492,10718.837744488992,69.89019107818604
gemini,okx,44407837.0,8.306095075000485,10727.143839563993,70.9061951637268
gemini,okx,44407837.0,8.200290965000022,10735.344130528993,71.9149649143219
gemini,okx,129178763.0,24.07473428499725,10759.41886481399,72.9239981174469
gemini,okx,129178763.0,24.07473428499725,10783.493599098987,73.9409749507904
gemini,okx,129178763.0,24.31946635299755,10807.813065451985,74.94899463653564
gemini,okx,129178763.0,24.038054202999774,10831.851119654984,75.9619493484497
