date,open,high,low,close,volume
1712574120000,2.90745e-05,2.90846e-05,2.90376e-05,2.90806e-05,1402295432.6756
1712574180000,2.90806e-05,2.91426e-05,2.90694e-05,2.91348e-05,2475808305.1282
1712574240000,2.91348e-05,2.91427e-05,2.90699e-05,2.90927e-05,2517825078.5183
1712574300000,2.90927e-05,2.9103e-05,2.90679e-05,2.9103e-05,1625470678.7713
1712574360000,2.9103e-05,2.91441e-05,2.90874e-05,2.9141e-05,755218645.819
1712574420000,2.9141e-05,2.91528e-05,2.9118e-05,2.91278e-05,1433873270.7312
1712574480000,2.91278e-05,2.91293e-05,2.90921e-05,2.91e-05,2033476552.867
1712574540000,2.91e-05,2.91056e-05,2.90703e-05,2.90921e-05,1605830565.4207
1712574600000,2.90921e-05,2.90973e-05,2.90598e-05,2.90636e-05,1188513540.1616
1712574660000,2.90636e-05,2.90821e-05,2.90342e-05,2.9038e-05,1378244733.6733
1712574720000,2.9038e-05,2.90711e-05,2.90349e-05,2.90507e-05,1847176582.7287
1712574780000,2.90507e-05,2.90529e-05,2.90273e-05,2.90281e-05,1903786753.0505
1712574840000,2.90281e-05,2.90499e-05,2.90129e-05,2.90446e-05,1357991923.3883
1712574900000,2.90446e-05,2.90712e-05,2.90373e-05,2.90602e-05,1514051373.9993
1712574960000,2.90602e-05,2.91112e-05,2.90492e-05,2.9069e-05,1800997138.2579
1712575020000,2.9069e-05,2.90829e-05,2.90202e-05,2.90252e-05,2345462530.7417
1712575080000,2.90252e-05,2.90709e-05,2.9e-05,2.90397e-05,1966229636.509
1712575140000,2.90397e-05,2.90698e-05,2.90321e-05,2.90393e-05,1056153567.3102
1712575200000,2.90393e-05,2.90838e-05,2.9037e-05,2.90726e-05,1198774297.7646
1712575260000,2.90726e-05,2.90977e-05,2.90594e-05,2.90871e-05,1809149476.6309
1712575320000,2.90871e-05,2.90995e-05,2.90583e-05,2.90894e-05,2271738794.5893
1712575380000,2.90894e-05,2.90998e-05,2.90628e-05,2.90789e-05,1841083034.7017
1712575440000,2.90789e-05,2.90924e-05,2.90438e-05,2.9088e-05,1634030843.3271
1712575500000,2.9088e-05,2.9088e-05,2.90573e-05,2.90744e-05,2054512386.3114
1712575560000,2.90744e-05,2.90958e-05,2.90676e-05,2.90804e-05,1832732811.2773
1712575620000,2.90804e-05,2.90951e-05,2.90584e-05,2.90755e-05,1659530529.4384
1712575680000,2.90755e-05,2.90983e-05,2.90706e-05,2.90891e-05,2262445818.0418
1712575740000,2.90891e-05,2.91338e-05,2.90788e-05,2.91019e-05,2430548940.4318
1712575800000,2.91019e-05,2.91019e-05,2.90451e-05,2.90572e-05,1686288656.1966
1712575860000,2.90572e-05,2.90659e-05,2.90366e-05,2.90472e-05,689039417.8541
1712575920000,2.90472e-05,2.90696e-05,2.9042e-05,2.90507e-05,894951069.2056
1712575980000,2.90507e-05,2.9067e-05,2.90287e-05,2.90452e-05,1271691170.7214
1712576040000,2.90452e-05,2.90611e-05,2.90223e-05,2.90223e-05,1409790132.2534
1712576100000,2.90223e-05,2.90518e-05,2.90223e-05,2.90516e-05,1657362700.0667
1712576160000,2.90516e-05,2.90664e-05,2.90334e-05,2.90614e-05,1103595081.8181
1712576220000,2.90614e-05,2.90652e-05,2.90307e-05,2.90311e-05,755839494.0933
1712576280000,2.90311e-05,2.90825e-05,2.90311e-05,2.90809e-05,1558699840.0218
1712576340000,2.90809e-05,2.90825e-05,2.90603e-05,2.90729e-05,2750469430.6721
1712576400000,2.90729e-05,2.90836e-05,2.9047e-05,2.90474e-05,2670384981.1522
1712576460000,2.90474e-05,2.90709e-05,2.90174e-05,2.90174e-05,2235600500.873
1712576520000,2.90174e-05,2.90333e-05,2.90089e-05,2.90144e-05,1482455902.3206
1712576580000,2.90144e-05,2.90233e-05,2.90008e-05,2.90057e-05,1171766844.0723
1712576640000,2.90057e-05,2.90219e-05,2.90004e-05,2.90093e-05,1642342867.9917
1712576700000,2.90093e-05,2.90133e-05,2.8972e-05,2.89785e-05,1766463516.1303
1712576760000,2.89785e-05,2.89882e-05,2.897e-05,2.89773e-05,1415136825.2738
1712576820000,2.89773e-05,2.89832e-05,2.8945e-05,2.89586e-05,1243441721.1844
1712576880000,2.89586e-05,2.89618e-05,2.89304e-05,2.8943e-05,1932554495.0589
1712576940000,2.8943e-05,2.89475e-05,2.89231e-05,2.89236e-05,1359383098.7705
1712577000000,2.89236e-05,2.89405e-05,2.89232e-05,2.89354e-05,540568935.6136
1712577060000,2.89354e-05,2.89791e-05,2.89326e-05,2.89749e-05,405587922.1291
1712577120000,2.89749e-05,2.89855e-05,2.89397e-05,2.8975e-05,264699116.0095
1712577180000,2.8975e-05,2.89837e-05,2.89497e-05,2.89749e-05,471981057.9292
1712577240000,2.89749e-05,2.89913e-05,2.89548e-05,2.89818e-05,608526811.7267
1712577300000,2.89818e-05,2.89933e-05,2.89554e-05,2.8968e-05,840371189.6386
